id_w_time,latitude,longitude,id,x,y,year,month,week,date,time_of_year,acq_time,fire,pop_density,obs_ID,city,in_urban_area,settlement,adm2_name,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive,map_col
41.4--1.1-103-2023,-1.09483,41.42944,41.4--1.1,41.400000000000006,-1.1,2023,4,15,2023-04-13,103,1051,1,5.046753249234623,26453,NA,FALSE,FALSE,NA,5.5398383140563965,0,1,1,0,1,41--1,207,0,NA
41.4--1.1-143-2023,-1.14224,41.43814,41.4--1.1,41.400000000000006,-1.1,2023,5,21,2023-05-23,143,1002,1,5.046753249234623,26539,NA,FALSE,FALSE,NA,5.446498870849609,0,2,3,0,1,41--1,207,0,NA
41.4--1.1-143-2023,-1.14736,41.44283,41.4--1.1,41.400000000000006,-1.1,2023,5,21,2023-05-23,143,1002,1,5.046753249234623,26541,NA,FALSE,FALSE,NA,6.524869918823242,0,2,3,0,1,41--1,207,0,NA
41.4--1.1-143-2023,-1.13653,41.43733,41.4--1.1,41.400000000000006,-1.1,2023,5,21,2023-05-23,143,1002,1,5.046753249234623,26540,NA,FALSE,FALSE,NA,5.53073787689209,0,2,3,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.11951,41.3705,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1032,1,5.046753249234623,23712,NA,FALSE,FALSE,NA,4.480608940124512,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.1308,41.3705,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1036,1,5.046753249234623,23711,NA,FALSE,FALSE,NA,4.652833938598633,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.12018,41.37278,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1121,1,5.046753249234623,23710,NA,FALSE,FALSE,NA,4.480608940124512,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.12086,41.3685,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1121,1,5.046753249234623,23709,NA,FALSE,FALSE,NA,4.480608940124512,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-316-2022,-1.13474,41.41646,41.4--1.1,41.400000000000006,-1.1,2022,11,46,2022-11-12,316,1049,1,5.046753249234623,23965,NA,FALSE,FALSE,NA,4.468106269836426,0,1,1,0,1,41--1,207,0,NA
41.4--1.1-43-2023,-1.14843,41.38052,41.4--1.1,41.400000000000006,-1.1,2023,2,7,2023-02-12,43,1119,1,5.046753249234623,24849,NA,FALSE,FALSE,NA,4.605794429779053,0,2,1,0,1,41--1,207,0,NA
41.4--1.1-70-2023,-1.11888,41.36899,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-11,70,1112,1,5.046753249234623,25937,NA,FALSE,FALSE,NA,4.480608940124512,0,2,1,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.11736,41.42706,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25982,NA,FALSE,FALSE,NA,5.3832106590271,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.12877,41.40706,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1000,1,5.046753249234623,25989,NA,FALSE,FALSE,NA,4.661125659942627,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.12934,41.40324,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1000,1,5.046753249234623,25985,NA,FALSE,FALSE,NA,4.661125659942627,2,6,10,1,1,41--1,207,1,NA
41.4--1.1-71-2023,-1.11797,41.4231,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25984,NA,FALSE,FALSE,NA,5.122026443481445,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.11981,41.41124,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25988,NA,FALSE,FALSE,NA,4.802882671356201,2,6,10,1,1,41--1,207,1,NA
41.4--1.1-71-2023,-1.11858,41.41914,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25986,NA,FALSE,FALSE,NA,5.122026443481445,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.11504,41.41861,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25991,NA,FALSE,FALSE,NA,4.9574689865112305,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.11565,41.41465,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25990,NA,FALSE,FALSE,NA,4.628029823303223,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.12042,41.40728,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25987,NA,FALSE,FALSE,NA,4.802882671356201,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-71-2023,-1.13347,41.39309,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-12,71,1051,1,5.046753249234623,25983,NA,FALSE,FALSE,NA,4.54451322555542,2,6,10,0,1,41--1,207,0,NA
41.4--1.1-76-2023,-1.12112,41.37114,41.4--1.1,41.400000000000006,-1.1,2023,3,11,2023-03-17,76,1058,1,5.046753249234623,26111,NA,FALSE,FALSE,NA,4.480608940124512,0,2,1,1,1,41--1,207,0,NA
41.4--1.1-90-2023,-1.12731,41.42097,41.4--1.1,41.400000000000006,-1.1,2023,3,13,2023-03-31,90,0956,1,5.046753249234623,26327,NA,FALSE,FALSE,NA,4.790907859802246,0,2,1,0,1,41--1,207,0,NA
