event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM39082,"26 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-) Jubaland Security Force",,1,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,"Buulo Gaduud",-0.074,42.5719,2,"Calamada; Somali Memo",National,"On 26 December 2022, overnight, Al Shabaab attacked Jubaland security forces at the Sigaleer village near Buulo Gaduud village (Kismaayo, Lower Juba). There were no fatalities or casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39083,"26 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Police Forces of Somalia (2022-) Hirshabelle Police Forces",,1,12,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,1,"Calamada; Somali Memo; Undisclosed Source","Local partner-Other","On 26 December 2022, overnight, Al Shabaab threw a hand grenade against Hirshabelle police forces at a checkpoint in Belet Weyne town (Belet Weyne, Hiiraan). The security forces reacted with gunfire after the explosion. There were no fatalities. One civilian bystander was injured. Al Shabaab claimed responsibility.",0,,1680570804
SOM39093,"25 December 2022",2022,1,"Strategic developments","Strategic developments",Other,"Majeerteen Clan Militia (Somalia)",,4,,,0,40,,706,"Eastern Africa",Somalia,Mudug,Gaalkacyo,,"Gaalkacyo North",6.77,47.63,1,"Radio Dalsan",National,"Non-violent activity: On 25 December 2022, Majeerteen clan militia seized the control of Puntland ministry of health center in Gaalkacyo North town (Gaalkacyo, Mudug). The militias closed the operation and forces the workers out of the center. The motive is unknown.",0,,1673291088
SOM39122,"25 December 2022",2022,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)",,7,27,"Civilian targeting",706,"Eastern Africa",Somalia,"Middle Shabelle",Jowhar,,Buurfuule,2.9261,45.5247,2,"Caasimada; Hiiraan (Somalia)",National,"On 25 December 2022, an IED planted by Al Shabaab detonated, targeting civilians travelling in the vicinity of Buurfuule village (Jowhar, Middle Shabelle). Three people were killed.",3,,1673291088
SOM39173,"25 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Police Forces of Somalia (2022-) Puntland Police Force",,1,"Civilians (Somalia)","Labor Group (Somalia)",7,17,"Civilian targeting",706,"Eastern Africa",Somalia,Mudug,Gaalkacyo,,"Gaalkacyo North",6.77,47.63,1,"Undisclosed Source","Local partner-Other","On 25 December 2022, Puntland police customs officer opened gunfire on a vehicle carrying Khat for refusing to pay taxes fees and attempting to escape in Gaalkacyo North town (Gaalkacyo, Mudug). There were no fatalities. One person was injured.",0,,1673291089
SOM39174,"25 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Police Forces of Somalia (2022-) Puntland Police Force",,1,"Civilians (Somalia)",,7,17,"Civilian targeting",706,"Eastern Africa",Somalia,Mudug,Gaalkacyo,,Saaxo,6.7167,47,2,"Undisclosed Source","Local partner-Other","On 25 December 2022, Puntland police forces opened gunfire on civilians travelling on a vehicle near Saaxo village (Gaalkacyo, Mudug), injuring a civilian occupant. The shooting was caused by suspicion after the vehicle approached in the direction of the Police officers who were deployed in the area to intervene clan clashes.",0,,1673291089
SOM39180,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Somalia)",,3,"Police Forces of Somalia (2022-) Southwest Special Police Forces",,1,13,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,"Undisclosed Source","Local partner-Other","On 25 December 2022, unidentified gunmen threw a hand grenade against Southwest Special Police Forces (SWSPF) in a checkpoint at the Dr. Ayub Stadium in Baidoa town (Baydhaba, Bay). The police officers reacted with gunfire after the explosion. There were no casualties.",0,,1673291089
SOM39074,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)","Abgal Clan Militia (Somalia)",1,12,,706,"Eastern Africa",Somalia,"Middle Shabelle",Cadale,,Cadale,2.7603,46.3222,2,"Al Furqaan; Caasimada; Calamada; Somali Memo",National,"On 25 December 2022, Al Shabaab launched an attack against government security forces (SNA) and Abgal clan militia in Cali Axmed village near Cadale town (Cadale, Middle Shabelle). Al Shabaab claimed killing one soldier.",1,,1680570804
SOM39075,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)",,8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,"Al Furqaan; Calamada; Radio Risala; Undisclosed Source","Local partner-Other","On 25 December 2022, overnight, Al Shabaab carried out a hit and run attack against ATMIS UPDF at a defensive base in Buundo Weyn neighborhood in Afgooye town (Afgooye, Lower Shabelle). Both sides exchanged heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39076,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)","Military Forces of Somalia (2022-)",8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Mukaiga,2.1517,45.0686,1,"Al Furqaan; Calamada; Radio Risala; Undisclosed Source","Local partner-Other","On 25 December 2022, overnight, Al Shabaab carried out a hit and run attack against ATMIS UPDF and government security forces (SNA) at a defensive base in Mukaiga village (Afgooye, Lower Shabelle). The attack was initiated with RPGs followed by an exchange of gunfire from both sides. Three SNA soldiers were killed and four others were injured. Al Shabaab claimed responsibility.",3,,1680570804
