event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM42713,"31 October 2023",2023,1,"Political violence","Violence against civilians",Attack,"Habar Gedir-Ayr Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Habar Gedir-Saleban Sub-Clan Group (Somalia); Labor Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Galgaduud,Dhuusamarreeb,,Dhuusamarreeb,5.5376,46.3867,1,"Caasimada; Hiiraan (Somalia); Radio Kulmiye; Radio Risala; Undisclosed Source","Local partner-Other","On 31 October 2023, Habar Gedir Ayr sub-clan militia shot and killed two civilian businessmen from Habar Gedir Saleeban clan in Dhuusamarreeb town (Dhuusamarreeb, Galgaduud). The motive was due to clan revenge between the subclans.",2,,1699385309
SOM42715,"31 October 2023",2023,1,"Political violence","Violence against civilians",Attack,"Habar Gedir-Saleban Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Habar Gedir-Ayr Sub-Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,Matabaan,5.1994,45.5252,1,"Radio Risala; Undisclosed Source","Local partner-Other","On 31 October 2023, Habar Gedir Saleeban clan militia shot and killed two civilians from Habar Gedir Ayr sub-clan in Matabaan village (Belet Weyne, Hiraan). The motive was due to clan revenge between the subclans.",2,,1699385309
SOM42716,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Ethiopia)",,8,28,,706,"Eastern Africa",Somalia,Bakool,Waajid,,Waajid,3.8096,43.2463,1,"Calamada; Undisclosed Source","Local partner-Other","On 31 October 2023, Al Shabaab carried out an attack against ATMIS ENDF troops at a base in Waajid town (Waajid, Bakool). The attack was initiated with RPGs and followed by an exchange of gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42717,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Dhanaane,1.8739,45.0276,2,Calamada,National,"On 31 October 2023, Al Shabaab carried out an ambush government security forces (SNA) convoy travelling between Jaziira and Dhanaane town (Marka, Lower Shabelle). The attack was initiated with heavy gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42720,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces",,1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Beerhani,-0.2201,42.1959,2,"Radio Dalsan; Undisclosed Source","Local partner-Other","On 31 October 2023, government security forces (Danab/Bancroft) conducted security operations and clashed with Al Shabaab in between Yaaq Xaluul and Beerhani village (Kismaayo, Lower Juba) and Qod-qod and Qudus village (coded separately). The security forces destroyed the militants' hideouts in the villages. There were no casualties.",0,,1699385309
SOM42721,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces",,1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Kismayo,-0.3603,42.5463,2,"Radio Dalsan; Undisclosed Source","Local partner-Other","On 31 October 2023, government security forces (Danab/Bancroft) conducted security operations and clashed with Al Shabaab in between Qod-qod and Qudus village near Kismayo town (Kismaayo, Lower Juba) and Yaaq Xaluul and Beerhani (coded separately). The security forces destroyed the militants' hideouts in the villages. There were no casualties.",0,,1699385309
SOM42689,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces","Military Forces of Somalia (2022-) Jubaland Security Force",1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,"Buulo Xaaji",-0.632,41.9839,1,"Caasimada; Hiiraan (Somalia); Radio Dalsan; Radio Kulmiye; Radio Risala; Undisclosed Source","Local partner-Other","On 30 October 2023, government security forces (Danab/Bancroft) and Jubaland security forces clashed with Al Shabaab in Buulo Xaaji town (Kismaayo, Lower Juba). Both sides exchanged heavy gunfire. One senior militant was killed.",1,,1699385307
SOM42701,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Habar Gedir-Ayr Sub-Clan Militia (Somalia)",,4,"Habar Gedir-Saleban Sub-Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Galgaduud,Cadaado,,Xananburre,5.86,46.96,1,"Caasimada; Hiiraan (Somalia); Shabelle Media Network; Undisclosed Source","Local partner-Other","On 30 October 2023, Habar Gedir Ayr sub-clan militia and Habar Gedir Saleeban clan militia clashed in Xananburre village (Cadaado, Galgaduud). The motive was due to clan revenge and land dispute. Seven people were killed.",7,,1699385309
SOM42705,"30 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)","Labor Group (Somalia)",7,37,"Civilian targeting",706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Waaberi",2.0195,45.31,1,"Undisclosed Source","Local partner-Other","On 30 October 2023, an Under Vehicle IED planted by an unidentified group detonated at the Sayidka neighborhood in Mogadishu - Waaberi (Banadir). The IED targeted a civilian staff member of Favori LLC, which manages the Aden Abdulle International Airport. The owner was not in the vehicle at the time of the blast. There were no casualties.",0,,1699385309
SOM42707,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-) National Intelligence and Security Agency",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Kaxda",2.0399,45.2384,1,"Al Furqaan; Calamada; Undisclosed Source","Local partner-Other","On 30 October 2023, Al Shabaab shot and killed a government soldier (NISA) (assumed on duty) in Mogadishu - Kaxda (Banadir). Al Shabaab claimed responsibility.",1,,1699385309
SOM42708,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-) National Intelligence and Security Agency",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hawl Wadaag",2.048,45.32,1,"Al Furqaan; Calamada; Undisclosed Source","Local partner-Other","On 30 October 2023, Al Shabaab launched an attack against government security forces (NISA) at a checkpoint at the Baraka market junction in Mogadishu - Hawl Wadaag (Banadir). Both sides exchanged heavy gunfire. There were no fatalities. Five soldiers were injured. Al Shabaab claimed responsibility.",0,,1699385309
SOM42709,"30 October 2023",2023,1,"Strategic developments","Strategic developments","Change to group/activity","Al Shabaab",,2,,,0,20,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,2,"Undisclosed Source","Local partner-Other","Movement of forces: On 30 October 2023, a number of Al Shabaab, including foreigners, were seen along the border between Somalia and Ethiopia, in the vicinity of Ceel Cade village near Belet Weyne town (Belet Weyne, Hiiraan). The militants intended to cross the border into Ethiopia.",0,,1699385309
SOM42710,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,Calamada,Subnational,"On 30 October 2023, Al Shabaab threw a hand grenade against government security forces (SNA) at a checkpoint in Kawaan-weynaha at the Berdale neighborhood in Baidoa town (Baydhaba, Bay). The security forces reacted with gunfire after the blast. There were no fatalities. Two soldiers were injured. Al Shabaab claimed responsibility.",0,,1699385309
SOM42711,"30 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Middle Shabelle","Adan Yabaal",,"Adan Yabaal",3.5484,46.5459,2,"Al Furqaan; Calamada",National,"On 30 October 2023, an IED planted by Al Shabaab detonated, targeting government security forces (SNA) in Cali Ahmed village near Adan Yabaal town (Adan Yabaal, Middle Shabelle). There were no fatalities. One soldier was injured. Al Shabaab claimed responsibility.",0,,1699385309
SOM42712,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Somalia)",,3,"Police Forces of Somalia (2022-) Puntland Police Force",,1,13,,706,"Eastern Africa",Somalia,Nugaal,Garoowe,,Garowe,8.4064,48.4819,1,"Undisclosed Source","Local partner-Other","On 30 October 2023, Unidentified gunmen shot and injured two Puntland police forces at Jidka Sodanka area in Garowe town (Garoowe, Nugaal). The gunmen took the wounded police officers' weapons and escaped. The motive of the attack was unknown.",0,,1699385309
SOM42714,"30 October 2023",2023,1,"Political violence","Violence against civilians",Attack,"Habar Gedir-Saleban Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Habar Gedir-Ayr Sub-Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Galgaduud,Cadaado,,Xananburre,5.86,46.96,1,Caasimada,National,"On 30 October 2023, Habar Gedir Saleeban clan militia shot and killed one civilian from Habar Gedir Ayr sub-clan in Xananburre village (Cadaado, Galgaduud). The motive was due to clan revenge between the subclans.",1,,1699385309
SOM42687,"29 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)","Hawadle Clan Militia (Somalia)",1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,2,Caasimada,National,"On 29 October 2023, government security forces (SNA) and Hawadle clan militia in an operation clashed with Al Shabaab in Ceel Cade village near Belet Weyne town (Belet Weyne, Hiraan). There were no casualties.",0,,1699385306
SOM42698,"29 October 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Al Shabaab",,2,,,0,20,,706,"Eastern Africa",Somalia,Mudug,Hobyo,,Caad,6.3596,48.6282,1,Caasimada,National,"Detonation: On 29 October 2023, a remote-controlled IED by Al Shabaab detonated while planting the device in Caad town (Hobyo, Mudug). Casualties unknown.",0,,1699385309
SOM42699,"29 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)",,8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Golweyn,1.6584,44.58,1,Calamada,National,"On 29 October 2023, overnight, Al Shabaab launched hit and run attack against ATMIS UPDF at a base in Golweyn village (Marka, Lower Shabelle). Both sides exchange heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42700,"29 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)",,8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,K60,1.9243,44.9231,1,Calamada,National,"On 29 October 2023, overnight, Al Shabaab launched hit and run attack against ATMIS UPDF at a base in K60 village (Afgooye, Lower Shabelle). Both sides exchange heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42702,"29 October 2023",2023,1,"Political violence","Explosions/Remote violence",Grenade,"Al Shabaab",,2,"Civilians (Somalia)","Makane Clan Militia (Somalia)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,1,"Undisclosed Source","Local partner-Other","On 29 October 2023, suspected Al Shabaab threw a hand grenade at a teashop frequented by Makane clan militia in the Isbartibo area in Bundaweyne neighborhood in Belet Weyne town (Belet Weyne, Hiiraan). The hand grenade landed in an empty place. There were no casualties.",0,,1699385309
SOM42704,"29 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)",,1,"Military Forces of Somalia (2022-)",,1,11,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Daynile",2.0581,45.3003,1,"Undisclosed Source","Local partner-Other","On 29 October 2023, two groups of government security forces (SNA) clashed in Mogadishu - Daynile (Banadir). This is after both groups suspected each other. There were no fatalities. Two soldiers were injured.",0,,1699385309
SOM42706,"29 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Civilian targeting",706,"Eastern Africa",Somalia,"Lower Juba",Afmadow,,Dhobley,0.4063,41.0124,2,"Undisclosed Source","Local partner-Other","On 29 October 2023, one person was injured after an unexploded ordinance belonging to an unknown group detonated in Deg Elima village near Dhobley village (Afmadow, Lower Juba).",0,,1699385309
SOM42692,"28 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Bay,Diinsoor,,Diinsoor,2.4074,42.9766,1,Calamada,Subnational,"On 28 October 2023, Al Shabaab launched an attack against government security forces (SNA) at a base in Diinsoor village (Diinsoor, Bay). There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42694,"28 October 2023",2023,1,"Political violence","Explosions/Remote violence",Grenade,"Al Shabaab",,2,"Military Forces of Somalia (2022-) Special Forces",,1,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Kismayo,-0.3603,42.5463,1,"Radio Dalsan",National,"On 28 October 2023, Al Shabaab threw a hand grenade against government security forces (Danab/Bancroft) position in Kismayo town (Kismaayo, Lower Juba). The security forces conducted an operation and arrested one militant. There were no casualties.",0,,1699385309
SOM42695,"28 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Dharkenley",2.0095,45.25,1,"Calamada; Undisclosed Source","Local partner-Other","On 28 October 2023, overnight, Al Shabaab threw a hand grenade against government security forces (SNA) checkpoint at Macalin Nur checkpoint in Mogadishu - Dharkenley (Banadir). The security forces reacted with gunfire after the blast. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42696,"28 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)","Military Forces of Somalia (2022-)",8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Baraawe,,Baraawe,1.1132,44.0297,2,"Calamada; Undisclosed Source","Local partner-Other","On 28 October 2023, overnight, Al Shabaab carried out a probing attack against ATMIS UPDF and government security forces (SNA) position in Buur Colow village near Baraawe town (Baraawe, Lower Shabelle). The attack was initiated with heavy gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42697,"28 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Dhanaane,1.8739,45.0276,2,Calamada,National,"On 28 October 2023, Al Shabaab carried out an ambush on a government security forces (SNA) convoy travelling between Jaziira and Dhanaane town (Marka, Lower Shabelle). The attack was initiated with heavy gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42703,"28 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Makuudo,3.0597,43.6041,1,"Undisclosed Source","Local partner-Other","On 28 October 2023, overnight, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) at a base in Makuudo village (Baydhaba, Bay). Both sides exchange heavy gunfire. There were no casualties.",0,,1699385309
SOM42617,"27 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Daynile",2.0581,45.3003,1,Calamada,National,"On 27 October 2023, overnight, Al Shabaab carried out an attack against government security forces (SNA) checkpoint at the Igadabagey neighborhood in Mogadishu - Daynile (Banadir). One soldier was killed. Al Shabaab claimed responsibility.",1,,1698681343
SOM42618,"27 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Daynile",2.0581,45.3003,1,Calamada,National,"On 27 October 2023, overnight, Al Shabaab threw a hand grenade against government security forces (SNA) checkpoint at the Taraqa and Sigaarka neighborhood in Mogadishu - Daynile (Banadir). The security forces reacted with gunfire after the blast. There were no casualties. Al Shabaab claimed responsibility.",0,,1698681343
SOM42619,"27 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hamar Weyne",2.0337,45.34,1,Calamada,National,"On 27 October 2023, overnight, Al Shabaab threw a hand grenade against government security forces (SNA) at the hotel madina checkpoint in Mogadishu - Hamar Weyne (Banadir). The security forces reacted with gunfire after the blast. There were no fatalities. At least four soldiers were injured. Al Shabaab claimed responsibility.",0,,1698681343
SOM42620,"27 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)",,1,"Military Forces of Somalia (2022-)",,1,11,,706,"Eastern Africa",Somalia,Mudug,Xarardheere,,Camaara,5.1143,47.9303,1,"Al Furqaan",National,"On 27 October 2023, two groups of government security forces (SNA) clashed in Camaara town (Xarardheere, Mudug). The motive of the clash is unknown. One soldier was killed.",1,,1698681343
SOM42633,"27 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)","Government of Somalia (2022-) Banadir Administration",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Daynile",2.0581,45.3003,1,Calamada,National,"On 27 October 2023, overnight, an IED planted by Al Shabaab detonated, targeting the residential houses of Daynile district official in Mogadishu - Daynile (Banadir). There were no fatalities. Two people including the district official were injured. Al Shabaab claimed responsibility.",0,"local administrators",1698681343
SOM42691,"27 October 2023",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","Al Shabaab",,2,,,0,20,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Yaqshid",2.0678,45.35,1,"Undisclosed Source","Local partner-Other","Detonation: On 27 October 2023, a remote-controlled IED planted by Al Shabaab detonated in the Darussalam neighborhood in Mogadishu - Yaqshid (Banadir), killing one militant who was planting it.",1,,1699385309
SOM42693,"27 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)",,1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,Bakool,Tayeeglow,,"Ceel Gudo",4.1058,44.355,1,"Hiiraan (Somalia); Undisclosed Source","Local partner-Other","On 27 October 2023, government security forces (SNA) in an operation targeted Al Shabaab gathering position in Ceel Gudo village (Tayeeglow, Bakool). Both sides exchanged heavy gunfire. Four senior militants were killed and nine others were injured.",4,,1699385309
SOM42613,"26 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,Farlibaax,4.74,45.2,2,"Hiiraan (Somalia); Radio Risala",National,"On 26 October 2023, Al Shabaab carried an attack against Hawadle clan militia in Caag sibiri village near Farlibaax village (Belet Weyne, Hiraan). Both sides exchanged heavy gunfire. There were no casualties.",0,,1698681343
SOM42614,"26 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Awdheegle,1.9833,44.8333,1,Calamada,National,"On 26 October 2023, overnight, Al Shabaab attacked government security forces (SNA) at a base in Awdheegle village (Afgooye, Lower Shabelle). The attack was initiated with exchange of gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1698681343
SOM42615,"26 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)","Military Forces of Somalia (2022-)",8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Qoryooley,,Qoryooley,1.7878,44.53,1,Calamada,National,"On 26 October 2023, overnight, Al Shabaab launched an attack against ATMIS UPDF and government security forces (SNA) at a defensive base in Qoryooley town (Qoryooley, Lower Shabelle). Both sides engaged in an exchange of heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1698681343
SOM42616,"26 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Uganda)","Military Forces of Somalia (2022-)",8,28,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Saabid,2.1311,45.0377,1,Calamada,National,"On 26 October 2023, overnight, Al Shabaab carried out a hit and run attack against ATMIS UPDF and government security forces (SNA) at a base in Saabid village (Afgooye, Lower Shabelle). The attack was initiated with RPGs and followed by exchange of gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1698681343
SOM42627,"26 October 2023",2023,1,"Political violence",Battles,"Non-state actor overtakes territory","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,2,Caasimada,National,"On 26 October 2023, Al Shabaab carried an attack against government security forces (SNA) and took control over Ceel Cade village near Belet Weyne town (Belet Weyne, Hiraan). Both sides exchanged heavy gunfire. There were no casualties.",0,,1698681343
SOM42690,"26 October 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Al Shabaab",,2,"Civilians (Somalia)","Unidentified Clan Group (Somalia)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,"Lower Juba",Badhaadhe,,Badhaadhe,-1.0354,41.5005,1,"Undisclosed Source","Local partner-Other","On 26 October 2023, Al Shabaab abducted a clan elder from Badhaadhe town (Badhaadhe, Lower Juba) and took him to Jilib town. The motive is unknown.",0,,1699385309
SOM42612,"25 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hodan",2.0333,45.35,1,Calamada,National,"On 25 October 2023, overnight, Al Shabaab threw a hand grenade against government security forces (SNA) at the Egyptian hospital checkpoint in Mogadishu - Hodan (Banadir). The security forces reacted with gunfire after the blast. One soldier was killed and one other was injured. Al Shabaab claimed responsibility.",1,,1698681343
SOM42631,"25 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)","Police Forces of Somalia (2022-)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hamar Jabjab",2.0276,45.33,1,"Calamada; Undisclosed Source","Local partner-Other","On 25 October 2023, a remote controlled IED planted by Al Shabaab detonated in front of the home of the commander of Police Academy in Sheelare neighborhood in Mogadishu - Hamar Jabjab (Banadir). There were no fatalities. The Police Commander (off duty) was injured. Al Shabaab claimed responsibility.",0,,1698681343
SOM42632,"25 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)","Lawyers (Somalia)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Wadajir",2.0462,45.3341,1,Calamada,National,"On 25 October 2023, a remote controlled IED planted by Al Shabaab in front of the home of a lawyer of the Banadir Regional Court detonated at the Timocade neighborhood in Mogadishu - Wadajir (Banadir). There were no casualties. Al Shabaab claimed responsibility.",0,,1698681343
SOM42601,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Somalia (2022-)",,1,"Military Forces of Somalia (2022-) National Intelligence and Security Agency",,1,11,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hamar Jabjab",2.0276,45.33,1,"Al Furqaan; Caasimada; Hiiraan (Somalia); Shabelle Media Network",National,"On 24 October 2023, police forces and government security forces (NISA) clashed in Mogadishu - Hamar Jabjab (Banadir). The motive was due to clan dispute (unspecified). Both sides exchanged heavy gunfire. At least two soldiers were killed and several others were injured.",2,,1698681343
SOM42602,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Bay,Diinsoor,,Diinsoor,2.4074,42.9766,1,"Calamada; Undisclosed Source","Local partner-Other","On 24 October 2023, Al Shabaab carried out a hit and run attack against government security forces (SNA) base in Diinsoor town (Diinsoor, Bay). AS fired RPG rounds followed by small arms fire exchange between the two sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1698681343
SOM42603,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,"Beer Yabual",4.023,45.5727,2,"Al Furqaan; Calamada",National,"On 24 October 2023, Al Shabaab ambushed government security forces (SNA) in an operation near Beer Yabual village (Bulo Burto, Hiraan). Both sides exchanged heavy gunfire. Al Shabaab claimed killing nine soldiers and injured 13 others.",9,,1698681343
SOM42604,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,"Military Forces of Somalia (2022-) National Intelligence and Security Agency",,1,14,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,Beer-Gadiid,5.083,45.3143,2,"Hiiraan (Somalia); Radio Risala; Undisclosed Source","Local partner-Other","On 24 October 2023, Hawadle clan militia attacked government security forces (NISA) at a checkpoint near Beer-Gadiid village (Belet Weyne, Hiraan). The motive of the attack was unknown. At least one person was killed and three others were injured from both sides.",1,,1698681343
SOM42605,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,"Bulo Burto",3.8519,45.5651,2,"Al Furqaan; Calamada",National,"On 24 October 2023, Al Shabaab ambushed government security forces (SNA) in an operation in the vicinity of Bulo Burto town (Bulo Burto, Hiraan), and Halgan (coded separately). Both sides exchanged heavy gunfire. Al Shabaab claimed killing 11 soldiers and injured 16 others. Fatalities split between two locations, coded as 6.",6,,1698681343
SOM42606,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Halgan,4.2117,45.5625,2,"Al Furqaan; Calamada",National,"On 24 October 2023, Al Shabaab ambushed government security forces (SNA) in an operation near Halgan village (Bulo Burto, Hiraan) and Bulo Burto (coded separately). Both sides exchanged heavy gunfire. Al Shabaab claimed killing 11 soldiers and injured 16 others. Fatalities split between two locations, coded as 6.",5,,1698681343
SOM42607,"24 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)","Hawadle Clan Militia (Somalia)",1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Jicibow,4.0954,45.5098,2,"Caasimada; Hiiraan (Somalia); Undisclosed Source","Local partner-Other","On 24 October 2023, government security forces (SNA) and Hawadle clan militia in an operation clashed with Al Shabaab in Jicibow village (Bulo Burto, Hiraan). Both sides exchanged heavy gunfire. There were fatalities on both sides, with with some reports mentioning three soldiers were killed. Unspecified AS fatalities coded as 3. One report mentioned at least 15 people were killed from both sides. Fatalities coded as 6.",6,,1698681343
